"";"days";"prec";"temp"
"1";"2014-1-1";0;-42,7
"2";"2014-1-2";0;-43,5
"3";"2014-1-3";0;-47,2
"4";"2014-1-4";0,5;-40,5
"5";"2014-1-5";0;-38,7
"6";"2014-1-6";0;-41,6
"7";"2014-1-7";0;-41,3
"8";"2014-1-8";0,9;-41,1
"9";"2014-1-9";0,4;-39,5
"10";"2014-1-10";0;-43,8
"11";"2014-1-11";0;-45,8
"12";"2014-1-12";0;-45,7
"13";"2014-1-13";0;-44,1
"14";"2014-1-14";0;-45,6
"15";"2014-1-15";0;-46,3
"16";"2014-1-16";0;-46,8
"17";"2014-1-17";0;-48,2
"18";"2014-1-18";0;-48,1
"19";"2014-1-19";0;-47,3
"20";"2014-1-20";0;-48
"21";"2014-1-21";0;-49,2
"22";"2014-1-22";0;-50,2
"23";"2014-1-23";0;-49,1
"24";"2014-1-24";0;-42,2
"25";"2014-1-25";0;-46,3
"26";"2014-1-26";0;-47,3
"27";"2014-1-27";0;-45,7
"28";"2014-1-28";0;-48,2
"29";"2014-1-29";0;-47,3
"30";"2014-1-30";0;-46,3
"31";"2014-1-31";0;-47,2
"32";"2014-2-1";0;-47,2
"33";"2014-2-2";0;-50
"34";"2014-2-3";0;-49,8
"35";"2014-2-4";0;-47,7
"36";"2014-2-5";0;-49,5
"37";"2014-2-6";0;-48,1
"38";"2014-2-7";0,5;-35,8
"39";"2014-2-8";2,2;-33,3
"40";"2014-2-9";1,8;-33,6
"41";"2014-2-10";0,5;-31,6
"42";"2014-2-11";0;-30,8
"43";"2014-2-12";1,6;-28,8
"44";"2014-2-13";1,3;-31,5
"45";"2014-2-14";0,8;-31,6
"46";"2014-2-15";3,3;-29,3
"47";"2014-2-16";3;-30
"48";"2014-2-17";0;-35,3
"49";"2014-2-18";0;-40,6
"50";"2014-2-19";0;-37,2
"51";"2014-2-20";0;-30,3
"52";"2014-2-21";0;-30,5
"53";"2014-2-22";0;-32,8
"54";"2014-2-23";0;-31,6
"55";"2014-2-24";0;-29,6
"56";"2014-2-25";0;-32,6
"57";"2014-2-26";0;-34,5
"58";"2014-2-27";0;-33
"59";"2014-2-28";0;-33,3
"60";"2014-3-1";0;-33,8
"61";"2014-3-2";0;-37,2
"62";"2014-3-3";0,6;-29,8
"63";"2014-3-4";0,4;-26,1
"64";"2014-3-5";0,2;-25,8
"65";"2014-3-6";0;-28,1
"66";"2014-3-7";0;-29,1
"67";"2014-3-8";0;-23,1
"68";"2014-3-9";0;-22,6
"69";"2014-3-10";0;-25,8
"70";"2014-3-11";0;-24,3
"71";"2014-3-12";0;-23,8
"72";"2014-3-13";0;-22,3
